image_id,bad_case_status,subset,resolution
867,none_correct,train,mid_res
450,none_correct,train,mid_res
23,none_correct,train,mid_res
553,none_correct,train,mid_res
248,one_correct,train,mid_res
988,none_correct,train,mid_res
459,none_correct,train,mid_res
798,none_correct,train,mid_res
339,low_dice,train,mid_res
606,none_correct,train,mid_res
705,none_correct,train,mid_res
227,low_dice,train,mid_res
239,one_correct,train,mid_res
470,low_dice,train,mid_res
982,one_correct,train,mid_res
949,none_correct,train,mid_res
597,none_correct,train,mid_res
759,none_correct,train,mid_res
791,one_correct,train,mid_res
861,none_correct,train,mid_res
187,none_correct,train,mid_res
314,ostia_not_found,train,mid_res
838,one_correct,train,mid_res
284,one_correct,train,mid_res
347,none_correct,train,mid_res
556,low_dice,train,mid_res
280,none_correct,train,mid_res
792,none_correct,train,mid_res
677,low_dice,train,mid_res
808,none_correct,train,mid_res
728,none_correct,train,mid_res
127,none_correct,train,mid_res
938,one_correct,train,mid_res
307,none_correct,train,mid_res
790,none_correct,train,mid_res
207,none_correct,train,mid_res
747,low_dice,train,mid_res
645,one_correct,train,mid_res
694,one_correct,train,mid_res
602,one_correct,train,mid_res
668,none_correct,train,mid_res
180,one_correct,train,mid_res
316,none_correct,train,mid_res
446,none_correct,train,mid_res
515,none_correct,train,mid_res
523,low_dice,train,mid_res
101,none_correct,train,mid_res
835,none_correct,train,mid_res
974,none_correct,train,mid_res
401,none_correct,train,mid_res
490,low_dice,train,mid_res
522,none_correct,train,mid_res
407,none_correct,train,mid_res
767,low_dice,train,mid_res
190,ostia_not_found,train,mid_res
